PSI 3hr,Datetime stamp
30, 6am 01 Jan 2014
30, 7am 01 Jan 2014
30, 8am 01 Jan 2014
30, 9am 01 Jan 2014
30, 10am 01 Jan 2014
30, 12pm 01 Jan 2014
29, 1pm 01 Jan 2014
27, 2pm 01 Jan 2014
27, 3pm 01 Jan 2014
27, 4pm 01 Jan 2014
30, 6pm 01 Jan 2014
30, 7pm 01 Jan 2014
29, 8pm 01 Jan 2014
28, 9pm 01 Jan 2014
31, 11pm 01 Jan 2014
37, 2am 02 Jan 2014
35, 6am 02 Jan 2014
34, 7am 02 Jan 2014
36, 8am 02 Jan 2014
37, 9am 02 Jan 2014
40, 10am 02 Jan 2014
42, 11am 02 Jan 2014
40, 12pm 02 Jan 2014
37, 1pm 02 Jan 2014
33, 2pm 02 Jan 2014
32, 3pm 02 Jan 2014
32, 4pm 02 Jan 2014
31, 5pm 02 Jan 2014
33, 6pm 02 Jan 2014
33, 7pm 02 Jan 2014
32, 9pm 02 Jan 2014
33, 10pm 02 Jan 2014
32, 11pm 02 Jan 2014
36, 6am 03 Jan 2014
32, 8am 03 Jan 2014
35, 10am 03 Jan 2014
36, 12pm 03 Jan 2014
34, 1pm 03 Jan 2014
31, 2pm 03 Jan 2014
28, 3pm 03 Jan 2014
23, 5pm 03 Jan 2014
22, 6pm 03 Jan 2014
22, 7pm 03 Jan 2014
20, 9pm 03 Jan 2014
20, 10pm 03 Jan 2014
19, 11pm 03 Jan 2014
22, 5am 04 Jan 2014
23, 6am 04 Jan 2014
23, 7am 04 Jan 2014
24, 8am 04 Jan 2014
27, 10am 04 Jan 2014
29, 11am 04 Jan 2014
30, 12pm 04 Jan 2014
29, 2pm 04 Jan 2014
27, 3pm 04 Jan 2014
26, 4pm 04 Jan 2014
28, 6pm 04 Jan 2014
28, 6pm 04 Jan 2014
28, 7pm 04 Jan 2014
26, 8pm 04 Jan 2014
22, 10pm 04 Jan 2014
20, 11pm 04 Jan 2014
20, 11pm 04 Jan 2014
13, 7am 05 Jan 2014
13, 8am 05 Jan 2014
10, 10am 05 Jan 2014
10, 11am 05 Jan 2014
11, 12pm 05 Jan 2014
11, 2pm 05 Jan 2014
10, 3pm 05 Jan 2014
9, 4pm 05 Jan 2014
10, 5pm 05 Jan 2014
10, 7pm 05 Jan 2014
11, 8pm 05 Jan 2014
13, 10pm 05 Jan 2014
14, 11pm 05 Jan 2014
8, 6am 06 Jan 2014
8, 8am 06 Jan 2014
11, 9am 06 Jan 2014
15, 10am 06 Jan 2014
19, 11am 06 Jan 2014
25, 12pm 06 Jan 2014
29, 1pm 06 Jan 2014
31, 2pm 06 Jan 2014
31, 3pm 06 Jan 2014
30, 4pm 06 Jan 2014
30, 5pm 06 Jan 2014
28, 6pm 06 Jan 2014
28, 7pm 06 Jan 2014
29, 8pm 06 Jan 2014
31, 9pm 06 Jan 2014
32, 11pm 06 Jan 2014
34, 12am 07 Jan 2014
34, 6am 07 Jan 2014
32, 8am 07 Jan 2014
33, 9am 07 Jan 2014
35, 10am 07 Jan 2014
37, 11am 07 Jan 2014
38, 12pm 07 Jan 2014
38, 1pm 07 Jan 2014
35, 2pm 07 Jan 2014
34, 3pm 07 Jan 2014
33, 4pm 07 Jan 2014
38, 6pm 07 Jan 2014
36, 8pm 07 Jan 2014
33, 9pm 07 Jan 2014
33, 11pm 07 Jan 2014
32, 6am 08 Jan 2014
32, 7am 08 Jan 2014
31, 8am 08 Jan 2014
30, 9am 08 Jan 2014
30, 10am 08 Jan 2014
31, 11am 08 Jan 2014
33, 1pm 08 Jan 2014
29, 2pm 08 Jan 2014
26, 3pm 08 Jan 2014
25, 4pm 08 Jan 2014
23, 5pm 08 Jan 2014
22, 6pm 08 Jan 2014
25, 7pm 08 Jan 2014
27, 8pm 08 Jan 2014
26, 9pm 08 Jan 2014
23, 10pm 08 Jan 2014
23, 11pm 08 Jan 2014
19, 3am 09 Jan 2014
15, 6am 09 Jan 2014
15, 7am 09 Jan 2014
18, 8am 09 Jan 2014
16, 9am 09 Jan 2014
16, 10am 09 Jan 2014
16, 11am 09 Jan 2014
18, 12pm 09 Jan 2014
20, 2pm 09 Jan 2014
18, 3pm 09 Jan 2014
14, 5pm 09 Jan 2014
17, 6pm 09 Jan 2014
22, 7pm 09 Jan 2014
28, 9pm 09 Jan 2014
28, 9pm 09 Jan 2014
27, 10pm 09 Jan 2014
24, 11pm 09 Jan 2014
20, 6am 10 Jan 2014
18, 7am 10 Jan 2014
18, 8am 10 Jan 2014
19, 10am 10 Jan 2014
17, 12pm 10 Jan 2014
20, 1pm 10 Jan 2014
24, 2pm 10 Jan 2014
28, 3pm 10 Jan 2014
32, 4pm 10 Jan 2014
37, 5pm 10 Jan 2014
38, 6pm 10 Jan 2014
34, 7pm 10 Jan 2014
29, 8pm 10 Jan 2014
27, 9pm 10 Jan 2014
26, 11pm 10 Jan 2014
26, 11pm 10 Jan 2014
11, 6am 11 Jan 2014
10, 7am 11 Jan 2014
11, 8am 11 Jan 2014
12, 9am 11 Jan 2014
13, 10am 11 Jan 2014
13, 11am 11 Jan 2014
16, 12pm 11 Jan 2014
19, 1pm 11 Jan 2014
19, 2pm 11 Jan 2014
18, 3pm 11 Jan 2014
18, 4pm 11 Jan 2014
22, 5pm 11 Jan 2014
25, 6pm 11 Jan 2014
24, 7pm 11 Jan 2014
19, 8pm 11 Jan 2014
14, 9pm 11 Jan 2014
14, 10pm 11 Jan 2014
17, 11pm 11 Jan 2014
22, 6am 12 Jan 2014
23, 7am 12 Jan 2014
25, 8am 12 Jan 2014
26, 9am 12 Jan 2014
27, 11am 12 Jan 2014
25, 12pm 12 Jan 2014
23, 1pm 12 Jan 2014
22, 2pm 12 Jan 2014
15, 4pm 12 Jan 2014
14, 5pm 12 Jan 2014
16, 6pm 12 Jan 2014
18, 7pm 12 Jan 2014
20, 9pm 12 Jan 2014
21, 10pm 12 Jan 2014
22, 11pm 12 Jan 2014
23, 6am 13 Jan 2014
24, 7am 13 Jan 2014
26, 8am 13 Jan 2014
27, 9am 13 Jan 2014
28, 11am 13 Jan 2014
30, 1pm 13 Jan 2014
29, 3pm 13 Jan 2014
31, 4pm 13 Jan 2014
33, 5pm 13 Jan 2014
34, 6pm 13 Jan 2014
30, 8pm 13 Jan 2014
28, 9pm 13 Jan 2014
30, 11pm 13 Jan 2014
31, 6am 14 Jan 2014
30, 7am 14 Jan 2014
30, 8am 14 Jan 2014
32, 9am 14 Jan 2014
33, 10am 14 Jan 2014
36, 11am 14 Jan 2014
36, 12pm 14 Jan 2014
35, 1pm 14 Jan 2014
32, 2pm 14 Jan 2014
30, 3pm 14 Jan 2014
29, 4pm 14 Jan 2014
29, 5pm 14 Jan 2014
29, 6pm 14 Jan 2014
33, 8pm 14 Jan 2014
33, 9pm 14 Jan 2014
33, 10pm 14 Jan 2014
32, 11pm 14 Jan 2014
31, 6am 15 Jan 2014
33, 8am 15 Jan 2014
37, 10am 15 Jan 2014
41, 11am 15 Jan 2014
41, 12pm 15 Jan 2014
41, 1pm 15 Jan 2014
37, 2pm 15 Jan 2014
35, 3pm 15 Jan 2014
36, 4pm 15 Jan 2014
38, 6pm 15 Jan 2014
39, 7pm 15 Jan 2014
40, 9pm 15 Jan 2014
38, 11pm 15 Jan 2014
36, 3am 16 Jan 2014
