PSI 3hr,Datetime,DayOfWeek,Period,DayOfMonth,Month
30,  6am 01 Jan 2014,Tues,morning,1,Jan
30,  7am 01 Jan 2014,Tues,morning,1,Jan
30,  8am 01 Jan 2014,Tues,morning,1,Jan
30,  9am 01 Jan 2014,Tues,morning,1,Jan
30,  10am 01 Jan 2014,Tues,morning,1,Jan
30,  12pm 01 Jan 2014,Tues,afternoon,1,Jan
29,  1pm 01 Jan 2014,Tues,afternoon,1,Jan
27,  2pm 01 Jan 2014,Tues,afternoon,1,Jan
27,  3pm 01 Jan 2014,Tues,afternoon,1,Jan
27,  4pm 01 Jan 2014,Tues,afternoon,1,Jan
30,  6pm 01 Jan 2014,Tues,afternoon,1,Jan
30,  7pm 01 Jan 2014,Tues,evening,1,Jan
29,  8pm 01 Jan 2014,Tues,evening,1,Jan
28,  9pm 01 Jan 2014,Tues,evening,1,Jan
31,  11pm 01 Jan 2014,Tues,evening,1,Jan
37,  2am 02 Jan 2014,Wed,night,2,Jan
35,  6am 02 Jan 2014,Wed,morning,2,Jan
34,  7am 02 Jan 2014,Wed,morning,2,Jan
36,  8am 02 Jan 2014,Wed,morning,2,Jan
37,  9am 02 Jan 2014,Wed,morning,2,Jan
40,  10am 02 Jan 2014,Wed,morning,2,Jan
42,  11am 02 Jan 2014,Wed,morning,2,Jan
40,  12pm 02 Jan 2014,Wed,afternoon,2,Jan
37,  1pm 02 Jan 2014,Wed,afternoon,2,Jan
33,  2pm 02 Jan 2014,Wed,afternoon,2,Jan
32,  3pm 02 Jan 2014,Wed,afternoon,2,Jan
32,  4pm 02 Jan 2014,Wed,afternoon,2,Jan
31,  5pm 02 Jan 2014,Wed,afternoon,2,Jan
33,  6pm 02 Jan 2014,Wed,afternoon,2,Jan
33,  7pm 02 Jan 2014,Wed,evening,2,Jan
32,  9pm 02 Jan 2014,Wed,evening,2,Jan
33,  10pm 02 Jan 2014,Wed,evening,2,Jan
32,  11pm 02 Jan 2014,Wed,evening,2,Jan
36,  6am 03 Jan 2014,Thurs,morning,3,Jan
32,  8am 03 Jan 2014,Thurs,morning,3,Jan
35,  10am 03 Jan 2014,Thurs,morning,3,Jan
36,  12pm 03 Jan 2014,Thurs,afternoon,3,Jan
34,  1pm 03 Jan 2014,Thurs,afternoon,3,Jan
31,  2pm 03 Jan 2014,Thurs,afternoon,3,Jan
28,  3pm 03 Jan 2014,Thurs,afternoon,3,Jan
23,  5pm 03 Jan 2014,Thurs,afternoon,3,Jan
22,  6pm 03 Jan 2014,Thurs,afternoon,3,Jan
22,  7pm 03 Jan 2014,Thurs,evening,3,Jan
20,  9pm 03 Jan 2014,Thurs,evening,3,Jan
20,  10pm 03 Jan 2014,Thurs,evening,3,Jan
19,  11pm 03 Jan 2014,Thurs,evening,3,Jan
22,  5am 04 Jan 2014,Fri,night,4,Jan
23,  6am 04 Jan 2014,Fri,morning,4,Jan
23,  7am 04 Jan 2014,Fri,morning,4,Jan
24,  8am 04 Jan 2014,Fri,morning,4,Jan
27,  10am 04 Jan 2014,Fri,morning,4,Jan
29,  11am 04 Jan 2014,Fri,morning,4,Jan
30,  12pm 04 Jan 2014,Fri,afternoon,4,Jan
29,  2pm 04 Jan 2014,Fri,afternoon,4,Jan
27,  3pm 04 Jan 2014,Fri,afternoon,4,Jan
26,  4pm 04 Jan 2014,Fri,afternoon,4,Jan
28,  6pm 04 Jan 2014,Fri,afternoon,4,Jan
28,  6pm 04 Jan 2014,Fri,afternoon,4,Jan
28,  7pm 04 Jan 2014,Fri,evening,4,Jan
26,  8pm 04 Jan 2014,Fri,evening,4,Jan
22,  10pm 04 Jan 2014,Fri,evening,4,Jan
20,  11pm 04 Jan 2014,Fri,evening,4,Jan
20,  11pm 04 Jan 2014,Fri,evening,4,Jan
13,  7am 05 Jan 2014,Sat,morning,5,Jan
13,  8am 05 Jan 2014,Sat,morning,5,Jan
10,  10am 05 Jan 2014,Sat,morning,5,Jan
10,  11am 05 Jan 2014,Sat,morning,5,Jan
11,  12pm 05 Jan 2014,Sat,afternoon,5,Jan
11,  2pm 05 Jan 2014,Sat,afternoon,5,Jan
10,  3pm 05 Jan 2014,Sat,afternoon,5,Jan
9,  4pm 05 Jan 2014,Sat,afternoon,5,Jan
10,  5pm 05 Jan 2014,Sat,afternoon,5,Jan
10,  7pm 05 Jan 2014,Sat,evening,5,Jan
11,  8pm 05 Jan 2014,Sat,evening,5,Jan
13,  10pm 05 Jan 2014,Sat,evening,5,Jan
14,  11pm 05 Jan 2014,Sat,evening,5,Jan
8,  6am 06 Jan 2014,Sun,morning,6,Jan
8,  8am 06 Jan 2014,Sun,morning,6,Jan
11,  9am 06 Jan 2014,Sun,morning,6,Jan
15,  10am 06 Jan 2014,Sun,morning,6,Jan
19,  11am 06 Jan 2014,Sun,morning,6,Jan
25,  12pm 06 Jan 2014,Sun,afternoon,6,Jan
29,  1pm 06 Jan 2014,Sun,afternoon,6,Jan
31,  2pm 06 Jan 2014,Sun,afternoon,6,Jan
31,  3pm 06 Jan 2014,Sun,afternoon,6,Jan
30,  4pm 06 Jan 2014,Sun,afternoon,6,Jan
30,  5pm 06 Jan 2014,Sun,afternoon,6,Jan
28,  6pm 06 Jan 2014,Sun,afternoon,6,Jan
28,  7pm 06 Jan 2014,Sun,evening,6,Jan
29,  8pm 06 Jan 2014,Sun,evening,6,Jan
31,  9pm 06 Jan 2014,Sun,evening,6,Jan
32,  11pm 06 Jan 2014,Sun,evening,6,Jan
34,  12am 07 Jan 2014,Mon,night,7,Jan
34,  6am 07 Jan 2014,Mon,morning,7,Jan
32,  8am 07 Jan 2014,Mon,morning,7,Jan
33,  9am 07 Jan 2014,Mon,morning,7,Jan
35,  10am 07 Jan 2014,Mon,morning,7,Jan
37,  11am 07 Jan 2014,Mon,morning,7,Jan
38,  12pm 07 Jan 2014,Mon,afternoon,7,Jan
38,  1pm 07 Jan 2014,Mon,afternoon,7,Jan
35,  2pm 07 Jan 2014,Mon,afternoon,7,Jan
34,  3pm 07 Jan 2014,Mon,afternoon,7,Jan
33,  4pm 07 Jan 2014,Mon,afternoon,7,Jan
38,  6pm 07 Jan 2014,Mon,afternoon,7,Jan
36,  8pm 07 Jan 2014,Mon,evening,7,Jan
33,  9pm 07 Jan 2014,Mon,evening,7,Jan
33,  11pm 07 Jan 2014,Mon,evening,7,Jan
32,  6am 08 Jan 2014,Tues,morning,8,Jan
32,  7am 08 Jan 2014,Tues,morning,8,Jan
31,  8am 08 Jan 2014,Tues,morning,8,Jan
30,  9am 08 Jan 2014,Tues,morning,8,Jan
30,  10am 08 Jan 2014,Tues,morning,8,Jan
31,  11am 08 Jan 2014,Tues,morning,8,Jan
33,  1pm 08 Jan 2014,Tues,afternoon,8,Jan
29,  2pm 08 Jan 2014,Tues,afternoon,8,Jan
26,  3pm 08 Jan 2014,Tues,afternoon,8,Jan
25,  4pm 08 Jan 2014,Tues,afternoon,8,Jan
23,  5pm 08 Jan 2014,Tues,afternoon,8,Jan
22,  6pm 08 Jan 2014,Tues,afternoon,8,Jan
25,  7pm 08 Jan 2014,Tues,evening,8,Jan
27,  8pm 08 Jan 2014,Tues,evening,8,Jan
26,  9pm 08 Jan 2014,Tues,evening,8,Jan
23,  10pm 08 Jan 2014,Tues,evening,8,Jan
23,  11pm 08 Jan 2014,Tues,evening,8,Jan
19,  3am 09 Jan 2014,Wed,night,9,Jan
15,  6am 09 Jan 2014,Wed,morning,9,Jan
15,  7am 09 Jan 2014,Wed,morning,9,Jan
18,  8am 09 Jan 2014,Wed,morning,9,Jan
16,  9am 09 Jan 2014,Wed,morning,9,Jan
16,  10am 09 Jan 2014,Wed,morning,9,Jan
16,  11am 09 Jan 2014,Wed,morning,9,Jan
18,  12pm 09 Jan 2014,Wed,afternoon,9,Jan
20,  2pm 09 Jan 2014,Wed,afternoon,9,Jan
18,  3pm 09 Jan 2014,Wed,afternoon,9,Jan
14,  5pm 09 Jan 2014,Wed,afternoon,9,Jan
17,  6pm 09 Jan 2014,Wed,afternoon,9,Jan
22,  7pm 09 Jan 2014,Wed,evening,9,Jan
28,  9pm 09 Jan 2014,Wed,evening,9,Jan
28,  9pm 09 Jan 2014,Wed,evening,9,Jan
27,  10pm 09 Jan 2014,Wed,evening,9,Jan
24,  11pm 09 Jan 2014,Wed,evening,9,Jan
20,  6am 10 Jan 2014,Thurs,morning,10,Jan
18,  7am 10 Jan 2014,Thurs,morning,10,Jan
18,  8am 10 Jan 2014,Thurs,morning,10,Jan
19,  10am 10 Jan 2014,Thurs,morning,10,Jan
17,  12pm 10 Jan 2014,Thurs,afternoon,10,Jan
20,  1pm 10 Jan 2014,Thurs,afternoon,10,Jan
24,  2pm 10 Jan 2014,Thurs,afternoon,10,Jan
28,  3pm 10 Jan 2014,Thurs,afternoon,10,Jan
32,  4pm 10 Jan 2014,Thurs,afternoon,10,Jan
37,  5pm 10 Jan 2014,Thurs,afternoon,10,Jan
38,  6pm 10 Jan 2014,Thurs,afternoon,10,Jan
34,  7pm 10 Jan 2014,Thurs,evening,10,Jan
29,  8pm 10 Jan 2014,Thurs,evening,10,Jan
27,  9pm 10 Jan 2014,Thurs,evening,10,Jan
26,  11pm 10 Jan 2014,Thurs,evening,10,Jan
26,  11pm 10 Jan 2014,Thurs,evening,10,Jan
11,  6am 11 Jan 2014,Fri,morning,11,Jan
10,  7am 11 Jan 2014,Fri,morning,11,Jan
11,  8am 11 Jan 2014,Fri,morning,11,Jan
12,  9am 11 Jan 2014,Fri,morning,11,Jan
13,  10am 11 Jan 2014,Fri,morning,11,Jan
13,  11am 11 Jan 2014,Fri,morning,11,Jan
16,  12pm 11 Jan 2014,Fri,afternoon,11,Jan
19,  1pm 11 Jan 2014,Fri,afternoon,11,Jan
19,  2pm 11 Jan 2014,Fri,afternoon,11,Jan
18,  3pm 11 Jan 2014,Fri,afternoon,11,Jan
18,  4pm 11 Jan 2014,Fri,afternoon,11,Jan
22,  5pm 11 Jan 2014,Fri,afternoon,11,Jan
25,  6pm 11 Jan 2014,Fri,afternoon,11,Jan
24,  7pm 11 Jan 2014,Fri,evening,11,Jan
19,  8pm 11 Jan 2014,Fri,evening,11,Jan
14,  9pm 11 Jan 2014,Fri,evening,11,Jan
14,  10pm 11 Jan 2014,Fri,evening,11,Jan
17,  11pm 11 Jan 2014,Fri,evening,11,Jan
22,  6am 12 Jan 2014,Sat,morning,12,Jan
23,  7am 12 Jan 2014,Sat,morning,12,Jan
25,  8am 12 Jan 2014,Sat,morning,12,Jan
26,  9am 12 Jan 2014,Sat,morning,12,Jan
27,  11am 12 Jan 2014,Sat,morning,12,Jan
25,  12pm 12 Jan 2014,Sat,afternoon,12,Jan
23,  1pm 12 Jan 2014,Sat,afternoon,12,Jan
22,  2pm 12 Jan 2014,Sat,afternoon,12,Jan
15,  4pm 12 Jan 2014,Sat,afternoon,12,Jan
14,  5pm 12 Jan 2014,Sat,afternoon,12,Jan
16,  6pm 12 Jan 2014,Sat,afternoon,12,Jan
18,  7pm 12 Jan 2014,Sat,evening,12,Jan
20,  9pm 12 Jan 2014,Sat,evening,12,Jan
21,  10pm 12 Jan 2014,Sat,evening,12,Jan
22,  11pm 12 Jan 2014,Sat,evening,12,Jan
23,  6am 13 Jan 2014,Sun,morning,13,Jan
24,  7am 13 Jan 2014,Sun,morning,13,Jan
26,  8am 13 Jan 2014,Sun,morning,13,Jan
27,  9am 13 Jan 2014,Sun,morning,13,Jan
28,  11am 13 Jan 2014,Sun,morning,13,Jan
